,filenames,wordCounts,sizes,complexities,lexDiversities,uniques,readabilities,specialCount,req8
0,3133-20060310.txt,2358,15.1552734375,"{'percentageOf3Syllables': 10.644614079728584, 'wordInSentence': 24}",2.951188986232791,799,11.600000000000001,"{'supplement': 34, 'update': 75, 'annual': 10}",[]
1,3133-20060509.txt,0,0.0,"{'percentageOf3Syllables': 0, 'wordInSentence': 0}",0,0,,"{'supplement': 0, 'update': 0, 'annual': 0}",[]
2,3133-20060807.txt,0,0.0,"{'percentageOf3Syllables': 0, 'wordInSentence': 0}",0,0,,"{'supplement': 0, 'update': 0, 'annual': 0}",[]
3,3499-20060227.txt,5183,34.5107421875,"{'percentageOf3Syllables': 10.225737989581324, 'wordInSentence': 24}",3.511517615176152,1476,11.600000000000001,"{'supplement': 66, 'update': 148, 'annual': 12}",[]
4,3499-20060501.txt,31,0.1787109375,"{'percentageOf3Syllables': 0.0, 'wordInSentence': 31}",1.0689655172413792,29,14.4,"{'supplement': 0, 'update': 2, 'annual': 1}","['Item', '1A.', 'Risk', 'Factors', 'There', 'have', 'been', 'no', 'material', 'changes', 'in', 'our', '\xc2\x93Risk', 'Factors\xc2\x94', 'as', 'previously', 'disclosed', 'in', 'our', 'Annual', 'Report', 'on', 'Form', '10-K', 'for', 'the', 'year', 'ended', 'December', '31,']"
5,3499-20060731.txt,31,0.1787109375,"{'percentageOf3Syllables': 0.0, 'wordInSentence': 31}",1.0689655172413792,29,14.4,"{'supplement': 0, 'update': 2, 'annual': 1}","['Item', '1A.', 'Risk', 'Factors', 'There', 'have', 'been', 'no', 'material', 'changes', 'in', 'our', '\xc2\x93Risk', 'Factors\xc2\x94', 'as', 'previously', 'disclosed', 'in', 'our', 'Annual', 'Report', 'on', 'Form', '10-K', 'for', 'the', 'year', 'ended', 'December', '31,']"
6,3499-20061030.txt,31,0.177734375,"{'percentageOf3Syllables': 0.0, 'wordInSentence': 31}",1.0689655172413792,29,14.4,"{'supplement': 0, 'update': 2, 'annual': 1}","['Item', '1A.', 'Risk', 'Factors', 'There', 'have', 'been', 'no', 'material', 'changes', 'in', 'our', '\xc2\x93Risk', 'Factors\xc2\x94', 'as', 'previously', 'disclosed', 'in', 'our', 'Annual', 'Report', 'on', 'Form', '10-K', 'for', 'the', 'year', 'ended', 'December', '31,']"
7,3499-20070226.txt,5289,33.4892578125,"{'percentageOf3Syllables': 9.604840234448856, 'wordInSentence': 24}",3.4773175542406314,1521,11.600000000000001,"{'supplement': 69, 'update': 159, 'annual': 15}",[]
8,3499-20070430.txt,31,0.177734375,"{'percentageOf3Syllables': 0.0, 'wordInSentence': 31}",1.0689655172413792,29,14.4,"{'supplement': 0, 'update': 2, 'annual': 1}","['Item', '1A.', 'Risk', 'Factors', 'There', 'have', 'been', 'no', 'material', 'changes', 'in', 'our', '\xc2\x93Risk', 'Factors\xc2\x94', 'as', 'previously', 'disclosed', 'in', 'our', 'Annual', 'Report', 'on', 'Form', '10-K', 'for', 'the', 'year', 'ended', 'December', '31,']"
9,3499-20070730.txt,31,0.177734375,"{'percentageOf3Syllables': 0.0, 'wordInSentence': 31}",1.0689655172413792,29,14.4,"{'supplement': 0, 'update': 2, 'annual': 1}","['Item', '1A.', 'Risk', 'Factors', 'There', 'have', 'been', 'no', 'material', 'changes', 'in', 'our', '\xc2\x93Risk', 'Factors\xc2\x94', 'as', 'previously', 'disclosed', 'in', 'our', 'Annual', 'Report', 'on', 'Form', '10-K', 'for', 'the', 'year', 'ended', 'December', '31,']"
